teks_klaim,evidence,new_label
"Pembatasan sosial penting bagi kita semua, namun kita yang berisiko lebih tinggi terkena komplikasi serius akibat COVID-19 harus sangat berhati-hati dalam menerapkan pembatasan sosial. Orang-orang yang berisiko tinggi mengalami komplikasi meliputi: Orang lanjut usia. Orang yang memiliki kondisi medis kronis yang serius seperti penyakit jantung, diabetes, dan penyakit paru-paru.",Kabupaten-kabupaten yang menerapkan kebijakan ini telah secara efektif meningkatkan pembatasan sosial dan memperlambat penyebaran COVID-19.,SUPPORT
"Masker wajah (semua jenis dibingungkan, dan dipakai baik oleh orang sehat maupun orang sakit) dapat mengurangi laju pertumbuhan harian infeksi COVID-19","Bergantung pada wilayah yang kami analisis, kami menemukan bahwa penggunaan masker mengurangi jumlah kumulatif kasus Covid-19 yang terdaftar antara 2,3% dan 13% selama periode 10 hari setelah peraturan tersebut diwajibkan. Menilai kredibilitas berbagai perkiraan, kami menyimpulkan bahwa masker mengurangi tingkat pertumbuhan harian infeksi yang dilaporkan sekitar 40%.",SUPPORT
"Tidak, COVID-19 tidak ada hubungannya dengan 5G",Tujuan dari penelitian ini adalah untuk mengembangkan pemahaman tentang pendorong teori konspirasi 5G COVID-19 dan strategi untuk menangani misinformasi tersebut.,SUPPORT
Gejala awal yang jarang disebutkan adalah gangguan pencernaan.,"Gejala awal kebanyakan pasien meliputi demam, batuk, dan kelelahan.",SUPPORT
Penelitian lebih lanjut diperlukan untuk memahami apakah dan bagaimana berbagai hewan dapat terdampak oleh virus ini dan peran hewan dalam penyebaran COVID-19.,"Meskipun infeksi virus corona pada hewan peliharaan diketahui sebagian besar berhubungan dengan saluran pencernaan, telah diamati bahwa terdapat penularan dari manusia ke hewan dalam wabah ini dan beberapa hewan memiliki gejala yang mirip dengan manusia.",SUPPORT
"Ketika seseorang yang mengidap COVID-19 batuk, bersin, atau berbicara, mereka mengirimkan tetesan kecil berisi virus corona ke udara. Di situlah masker bisa membantu.","Masker wajah bedah secara signifikan mengurangi deteksi RNA virus influenza pada tetesan pernapasan dan RNA virus corona dalam aerosol, dengan kecenderungan penurunan deteksi RNA virus corona pada tetesan pernapasan.",SUPPORT
BCG telah mengurangi keparahan COVID-19,Vaksin Bacillus Calmette-Guerin (vaksin BCG) yang dirancang untuk mencegah tuberkulosis pada anak-anak telah terbukti menginduksi respon imun adaptif dalam tubuh untuk melawan bakteri serta parasit dan virus lainnya.,SUPPORT
"virus corona dapat bertahan hidup pada permukaan plastik dan logam, namun hal tersebut tidak menjadi masalah karena penularan melalui permukaan benda mati sangat kecil",Virus corona yang paling umum mungkin bertahan atau bertahan di permukaan benda hingga satu bulan.,SUPPORT
"tidak ada bukti ilmiah bahwa ibuprofen dan obat lain sejenisnya, dapat membuat Anda lebih sakit jika Anda mengidap Covid-19","Untuk NSAID, tidak ada bukti ilmiah yang jelas yang menghubungkan ibuprofen dan NSAID lainnya dengan memburuknya COVID-19;",SUPPORT
"Untuk mengurangi risiko infeksi Covid-19, disarankan agar orang yang berisiko terkena influenza dan/atau COVID-19 mempertimbangkan untuk mengonsumsi 10.000 IU/hari vitamin D 3 selama beberapa minggu untuk meningkatkan konsentrasi 25(OH)D dengan cepat, diikuti dengan 5.000 IU/hari.","Beberapa penelitian menunjukkan peran vitamin D dalam mengurangi risiko infeksi saluran pernafasan akut dan pneumonia. Ini termasuk penghambatan langsung dengan replikasi virus atau dengan cara anti-inflamasi atau imunomodulator. Dalam meta-analisis, suplementasi vitamin D terbukti aman dan efektif melawan infeksi saluran pernafasan akut. Oleh karena itu, orang-orang yang berisiko lebih tinggi mengalami kekurangan vitamin D selama pandemi global ini harus mempertimbangkan untuk mengonsumsi suplemen vitamin D untuk menjaga sirkulasi 25(OH)D pada tingkat optimal (75-125nmol/L).",SUPPORT
Tidak ada penelitian ilmiah yang mendukung klaim bahwa mengonsumsi vitamin C dosis tinggi dapat membantu mencegah atau menyembuhkan COVID-19.,"Beberapa nutrisi secara aktif terlibat dalam memfungsikan dan memperkuat sistem kekebalan tubuh manusia terhadap infeksi virus termasuk protein makanan, asam lemak omega-3, vitamin A, vitamin D, vitamin E, vitamin B1, vitamin B6, vitamin B12, vitamin C, zat besi, seng, dan selenium. Hanya sedikit penelitian yang dilakukan mengenai pengaruh komponen makanan terhadap pencegahan COVID-19, namun suplementasi dengan nutrisi ini mungkin efektif dalam meningkatkan status kesehatan pasien dengan infeksi virus.",SUPPORT
deksametason tidak efektif untuk mengobati Covid-19,"Ada banyak terapi yang menjalani uji klinis, namun sejauh ini belum ada vaksin atau terapi yang efektif untuk pengobatan.",SUPPORT
"Kabar baiknya. Mendisinfeksi rumah dan benda-benda yang sering disentuh dengan benar membantu mencegah penyebaran semua penyakit menular, termasuk COVID-19.",Sejumlah uji klinis telah diluncurkan untuk mengidentifikasi pengobatan yang efektif untuk COVID-19. Data awal dari penelitian terkontrol plasebo menunjukkan waktu pemulihan yang lebih cepat pada pasien yang memakai remdesivir; sekarang sedang dievaluasi dalam studi terkontrol tambahan.,SUPPORT
"kita bisa tertular COVID-19 melalui kontak dengan partikel terinfeksi yang dapat bertahan di permukaan benda selama berhari-hari atau berminggu-minggu. Hal ini menyebabkan orang-orang dengan giat membersihkan saklar lampu, menggosok barang belanjaan, dan mengumpulkan persediaan pembersih.","Kami melaporkan di sini bahwa virus corona 229E yang bersifat patogen pada manusia tetap menular dalam model kultur sel paru-paru manusia setelah setidaknya 5 hari bertahan pada berbagai bahan permukaan nonbiosidal yang umum, termasuk polytetrafluoroethylene (Teflon; PTFE), polivinil klorida (PVC), ubin keramik, kaca, karet silikon, dan baja tahan karat.",SUPPORT
"Risiko tertular Covid-19 dari bahan makanan dan paket yang kita kirimkan sangatlah kecil, namun ada kemungkinan jika seseorang mengantarkan paket ke rumah Anda dan mereka sakit, hal tersebut mungkin menjadi jalur penularan.","Sindrom Pernafasan Akut Parah Virus Corona-2 (SARS-CoV-2), penyebab pandemi COVID-19, ditularkan melalui kontak orang ke orang, melalui tetesan udara, atau melalui kontak dengan permukaan yang terkontaminasi.",SUPPORT
Keseimbangan energi membutuhkan neurotransmisi glutamat hipotalamus.,"Aktivitas neuron AgRP mendorong pemberian makan dan penambahan berat badan, sedangkan aktivitas neuron POMC di dekatnya menyebabkan hal yang sebaliknya. Namun, peran masukan glutamatergik rangsang dalam mengendalikan neuron ini tidak diketahui. Untuk menjawab pertanyaan ini, kami membuat tikus yang kekurangan reseptor NMDA (NMDAR) pada neuron AgRP atau POMC. Penghapusan NMDAR dari neuron AgRP secara nyata mengurangi berat badan, lemak tubuh dan asupan makanan sedangkan penghapusan dari neuron POMC tidak berpengaruh. Aktivasi neuron AgRP dengan berpuasa, sebagaimana dinilai dengan ekspresi c-Fos, Agrp dan Npy mRNA, EPSC yang dimediasi reseptor AMPA, depolarisasi dan laju pengaktifan, memerlukan NMDAR. Selain itu, neuron AgRP tetapi bukan neuron POMC memiliki duri dendritik dan peningkatan input glutamatergik ke neuron AgRP yang disebabkan oleh puasa disejajarkan dengan peningkatan duri, menunjukkan sinaptogenesis dan spinogenesis yang disebabkan oleh puasa. Dengan demikian transmisi sinaptik glutamatergik dan modulasinya oleh NMDAR memainkan peran kunci dalam mengendalikan neuron AgRP dan menentukan respons seluler dan perilaku terhadap puasa.",SUPPORT
Faktor pertukaran nukleotida guanin (GEFs) memediasi aktivasi RhoA sebagai respons terhadap kekuatan tegangan pada integrin pengikat fibronektin.,"Bagaimana masing-masing sel merespons gaya mekanis merupakan hal yang menarik bagi para ahli biologi karena gaya mempengaruhi banyak aspek perilaku sel. Penerapan kekuatan pada integrin memicu penataan ulang sitoskeletal dan pertumbuhan kompleks adhesi terkait, yang mengakibatkan peningkatan kekakuan seluler, yang juga dikenal sebagai penguatan. Meskipun RhoA telah terbukti berperan selama penguatan, mekanisme molekuler yang mengatur aktivitasnya tidak diketahui. Dengan menggabungkan pendekatan biokimia dan biofisik, kami mengidentifikasi dua faktor pertukaran nukleotida guanin (GEFs), LARG dan GEF-H1, sebagai molekul kunci yang mengatur adaptasi seluler terhadap kekuatan. Kami menunjukkan bahwa stimulasi integrin dengan gaya tegangan memicu aktivasi kedua GEF ini dan perekrutannya ke kompleks adhesi. Yang mengejutkan, aktivasi LARG dan GEF-H1 melibatkan jalur pensinyalan yang berbeda. Hasil kami mengungkapkan bahwa LARG diaktifkan oleh keluarga Src tirosin kinase Fyn, sedangkan aktivitas katalitik GEF-H1 ditingkatkan oleh ERK di hilir kaskade pensinyalan yang mencakup FAK dan Ras.",SUPPORT
Cuaca dapat mempengaruhi penyebaran virus corona,"Di kota-kota di wilayah selatan, suhu lingkungan dan polusi udara memiliki efek interaktif negatif terhadap penularan COVID-19, yang berarti bahwa kenaikan suhu membatasi dampak polusi udara dan keduanya menyebabkan penurunan kasus baru yang terkonfirmasi.",SUPPORT
Penelitian mengenai dinamika penularan COVID-19 menunjukkan manfaat masker dalam mencegah penyebaran virus.,"Penelitian ini 1) menggambarkan jalur penularan Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2); 2) mengatasi kontroversi seputar masker dari sudut pandang sikap, efektivitas, dan perlunya penggunaan masker dengan bukti bahwa penggunaan masker akan secara efektif menghentikan penularan penyakit menular baik di rumah sakit maupun di komunitas; dan 3) memberikan anjuran agar masyarakat memakai masker selama pandemi COVID-19 sesuai dengan konteks lokal.",SUPPORT
Faktor transkripsi EB menginduksi transkripsi sitokin proinflamasi pada makrofag yang terinfeksi Staphylococcus aureus.,"Pertahanan inang hewan terhadap infeksi memerlukan ekspresi gen pertahanan pada tempat dan waktu yang tepat. Memahami kontrol ketat terhadap pertahanan inang memerlukan penjelasan faktor transkripsi yang terlibat. Dengan menggunakan pendekatan yang tidak memihak dalam model Caenorhabditis elegans, kami menemukan bahwa HLH-30 (dikenal sebagai TFEB pada mamalia) merupakan faktor transkripsi kunci untuk pertahanan inang. HLH-30 diaktifkan segera setelah infeksi Staphylococcus aureus, dan mendorong ekspresi hampir 80% respon host, termasuk gen antimikroba dan autophagy yang penting untuk toleransi host terhadap infeksi. TFEB juga dengan cepat diaktifkan pada makrofag murine setelah infeksi S. aureus dan diperlukan untuk induksi transkripsional yang tepat dari beberapa sitokin dan kemokin proinflamasi. Dengan demikian, data kami menunjukkan bahwa TFEB adalah faktor transkripsi kuno yang sebelumnya tidak dihargai dan secara evolusioner dalam respons inang terhadap infeksi.",SUPPORT
BCG telah mengurangi keparahan COVID-19,"Terdapat korelasi yang kuat antara indeks BCG, perkiraan tingkat penerapan vaksinasi BCG secara universal di suatu negara, dan angka kematian akibat COVID-19 di berbagai negara Eropa yang secara sosial serupa (r 2 = 0,88; P = 8 · 10-7), yang menunjukkan bahwa setiap kenaikan 10% pada indeks BCG dikaitkan dengan penurunan angka kematian akibat COVID-19 sebesar 10,4%.",SUPPORT
Masker kain membantu melindungi orang lain dari tertular Covid-19,"Oleh karena itu, masuk akal untuk menyatakan bahwa penggunaan masker secara luas dan konsisten di masyarakat dapat mencegah penyebaran lebih lanjut Severe Acute Respiratory Syndrome-Coronavirus 2 (SARS-CoV-2).",SUPPORT
penjarakan sosial saja dapat menghentikan penyebaran virus,"penjarakan sosial yang lebih ketat, misalnya dengan memutus 75% ikatan sosial, dapat mengurangi wabah sebesar 75% pada isolasi C, sebesar 33% pada isolasi D, dan sebesar 87% pada strategi isolasi (C+D).",SUPPORT
"Apakah cuka dan air merupakan disinfektan yang efektif? Mungkin tidak. Meskipun asam dapat menonaktifkan virus (cuka adalah asam asetat), asam tersebut cukup encer dan pH-nya mungkin tidak cukup rendah.","Mengingat potensi manfaat dan ketersediaannya yang tinggi, desinfeksi asam asetat tampaknya merupakan terapi tambahan yang menjanjikan dalam kasus COVID-19 yang tidak parah dan memerlukan penyelidikan lebih lanjut.",SUPPORT
jarak sosial memang membantu mencegah virus corona (COVID-19,Diskusi: Gabungan langkah-langkah pembatasan sosial yang diterapkan oleh otoritas Yunani dalam beberapa minggu pertama setelah kasus virus pertama yang terkonfirmasi mengurangi tingkat pertumbuhan COVID-19.,SUPPORT
penjarakan sosial saja dapat menghentikan penyebaran virus,pembatasan sosial terpusat diperlukan untuk meminimalkan penyebaran pandemi.,SUPPORT
"Orang-orang yang bekerja di layanan kesehatan melawan COVID-19 menunjukkan kelelahan kesehatan mental yang signifikan dan, oleh karena itu, mempunyai prevalensi gangguan mental yang tinggi selama pandemi COVID-19.","Sebagai akibat dari munculnya wabah penyakit virus corona 2019 (COVID-19) yang disebabkan oleh infeksi sindrom pernapasan akut virus corona 2 (SARS-CoV-2) di kota Wuhan di Tiongkok, situasi krisis sosial-ekonomi dan tekanan psikologis yang mendalam dengan cepat terjadi di seluruh dunia.",SUPPORT
"Ibuprofen dijual dengan banyak merek, termasuk Advil dan Motrin. Meskipun dapat mengobati sakit kepala dan demam seperti asetaminofen, obat ini juga bermanfaat untuk mengencangkan otot karena mengurangi peradangan.","Namun, data yang tersedia dari penelitian terbatas menunjukkan pemberian ACE2 rekombinan memperbaiki kerusakan paru-paru yang disebabkan oleh virus pernapasan, sehingga menunjukkan bahwa penggunaan ibuprofen mungkin bermanfaat dalam penyakit COVID-19.",SUPPORT
"Alkohol (bir, anggur, minuman beralkohol sulingan, atau alkohol herbal) merangsang kekebalan dan ketahanan terhadap virus","Meskipun masih terlalu dini untuk menentukan secara tepat bagaimana penggunaan alkohol dapat memengaruhi risiko atau perkembangan COVID19, upaya apa pun untuk menghubungkan titik-titik dari penelitian alkohol di masa lalu akan menyarankan bahwa adalah bijaksana bagi mereka yang bukan peminum alkohol dan peminum berisiko rendah untuk mempertahankan status tersebut selama krisis kesehatan masyarakat ini.",SUPPORT
Analisis data urutan genom publik dari SARS-CoV-2 dan virus terkait tidak menemukan bukti bahwa virus tersebut dibuat di laboratorium atau direkayasa dengan cara lain.,"Hal ini memberikan bukti yang sangat mendukung hipotesis ilmiah bahwa kelelawar dan trenggiling kemungkinan merupakan inang virus COVID-19. Pada tingkat analisis genom secara keseluruhan, temuan kami juga menunjukkan bahwa kelelawar lebih mungkin menjadi inang virus COVID-19 dibandingkan trenggiling.",SUPPORT
Omnivora menghasilkan lebih banyak trimetilamina N-oksida dari makanan I-karnitin dibandingkan vegetarian.,"Metabolisme mikrobiota usus kolin dan fosfatidilkolin menghasilkan trimetilamina (TMA), yang selanjutnya dimetabolisme menjadi spesies proaterogenik, trimetilamina-N-oksida (TMAO). Kami menunjukkan di sini bahwa metabolisme oleh mikrobiota usus dari makanan L-karnitin, trimetilamina yang banyak terdapat dalam daging merah, juga menghasilkan TMAO dan mempercepat aterosklerosis pada tikus. Subjek manusia omnivora menghasilkan lebih banyak TMAO dibandingkan vegan atau vegetarian setelah mengonsumsi L-karnitin melalui mekanisme yang bergantung pada mikrobiota. Kehadiran taksa bakteri spesifik dalam tinja manusia dikaitkan dengan konsentrasi TMAO plasma dan status makanan. Kadar L-karnitin plasma pada subjek yang menjalani evaluasi jantung (n = 2,595) memperkirakan peningkatan risiko penyakit kardiovaskular (CVD) dan kejadian efek samping jantung yang besar (infark miokard, stroke, atau kematian), namun hanya pada subjek dengan kadar TMAO yang tinggi secara bersamaan. Suplementasi L-karnitin dalam makanan kronis pada tikus mengubah komposisi mikroba cecal, meningkatkan sintesis TMA dan TMAO, dan meningkatkan aterosklerosis, namun hal ini tidak terjadi jika mikrobiota usus ditekan secara bersamaan. Pada tikus dengan mikrobiota usus utuh, suplementasi makanan dengan TMAO atau karnitin atau kolin mengurangi transpor kolesterol secara in vivo. Mikrobiota usus mungkin berkontribusi pada hubungan antara tingginya tingkat konsumsi daging merah dan risiko penyakit kardiovaskular.",SUPPORT
Kekurangan vitamin D dikaitkan dengan peningkatan risiko COVID-19,"hasil tes positif COVID-19 dikaitkan dengan peningkatan usia (RR(usia<50)=1,05,p<0,021;RR(usia[]50)=1,02,p<0,064)), ras non-kulit putih (RR=2,54,p<0,01) dan kemungkinan kekurangan vitamin D (kekurangan/pengobatan-tidak meningkat:RR=1,77,p<0,02) dibandingkan dengan kemungkinan vitamin D cukup (tidak kekurangan/pengobatan-tidak menurun), dengan perkiraan tingkat COVID-19 pada kelompok kekurangan vitamin D sebesar 21,6%(95%CI[14.0%-29.2%] ) dibandingkan 12.2%(95%CI[8.9%-15.4%]) pada kelompok cukup vitamin D.",SUPPORT
Kematian terkait sepsis tetap stabil antara tahun 2009-2014.,"Pentingnya Perkiraan dari analisis berbasis klaim menunjukkan bahwa kejadian sepsis meningkat dan angka kematian akibat sepsis menurun. Namun, perkiraan dari data klaim mungkin kurang akurat secara klinis dan dapat dipengaruhi oleh perubahan diagnosis dan praktik pengkodean seiring berjalannya waktu. Tujuan Untuk memperkirakan kejadian dan tren sepsis nasional di AS menggunakan data klinis terperinci dari sistem catatan kesehatan elektronik (EHR) di berbagai rumah sakit. Desain, Setting, dan Populasi Studi kohort retrospektif terhadap pasien dewasa yang dirawat di 409 rumah sakit akademik, komunitas, dan federal dari tahun 2009-2014. Paparan Sepsis diidentifikasi menggunakan indikator klinis dari dugaan infeksi dan disfungsi organ akut yang terjadi bersamaan, dengan mengadaptasi kriteria Definisi Konsensus Internasional Ketiga untuk Sepsis dan Syok Septik (Sepsis-3) untuk pengawasan berbasis EHR yang obyektif dan konsisten. Hasil dan Tindakan Utama Kejadian, hasil, dan tren sepsis dari tahun 2009-2014 dihitung menggunakan model regresi dan dibandingkan dengan perkiraan berbasis klaim menggunakan kode Klasifikasi Penyakit Internasional, Revisi Kesembilan, Modifikasi Klinis untuk sepsis berat atau syok septik. Kriteria penemuan kasus divalidasi terhadap kriteria Sepsis-3 menggunakan tinjauan rekam medis. Hasil Sebanyak 173.690 kasus sepsis (usia rata-rata, 66,5 [SD, 15,5] tahun; 77.660 [42,4%] perempuan) diidentifikasi menggunakan kriteria klinis di antara 2.901.019 orang dewasa yang dirawat di rumah sakit penelitian pada tahun 2014 (6,0% kejadian). Dari jumlah tersebut, 26.061 (15,0%) meninggal di rumah sakit dan 10.731 (6,2%) dipulangkan ke rumah sakit. Dari tahun 2009-2014, kejadian sepsis berdasarkan kriteria klinis stabil (+0,6% perubahan relatif/tahun [95% CI, −2,3% hingga 3,5%], P = 0,67) sedangkan kejadian per klaim meningkat (+10,3%/tahun [95% CI, 7,2% hingga 13,3%], P < 0,001). Kematian di rumah sakit menggunakan kriteria klinis menurun (−3,3%/tahun [95% CI, −5,6% hingga −1,0%], P = 0,004), namun tidak ada perubahan signifikan dalam hasil gabungan kematian atau pemulangan ke rumah sakit (−1,3%/y [95% CI, −3,2% hingga 0,6%], P = 0,19). Sebaliknya, angka kematian yang menggunakan klaim menurun secara signifikan (−7,0%/tahun [95% CI, −8,8% hingga −5,2%], P < 0,001), begitu pula kematian atau pemulangan ke rumah sakit (−4,5%/tahun [95% CI, −6,1% hingga −2,8%], P < 0,001). Kriteria klinis lebih sensitif dalam mengidentifikasi sepsis dibandingkan klaim (69,7% [95% CI, 52,9% hingga 92,0%] vs 32,3% [95% CI, 24,4% hingga 43,0%], P <0,001), dengan nilai prediksi positif yang sebanding (70,4% [95% CI, 64,0% hingga 76,8%] vs 75,2% [95% CI, 69,8% hingga 80,6%], P = 0,23). Kesimpulan dan Relevansi Dalam data klinis dari 409 rumah sakit, sepsis terjadi pada 6% pasien dewasa yang dirawat di rumah sakit, dan berbeda dengan analisis berbasis klaim, baik kejadian sepsis maupun gabungan hasil kematian atau keluar dari rumah sakit tidak mengalami perubahan yang signifikan antara tahun 2009-2014. Temuan ini juga menunjukkan bahwa data klinis berbasis EHR memberikan perkiraan yang lebih obyektif dibandingkan data berbasis klaim untuk surveilans sepsis.",SUPPORT
Social Distancing mengurangi mobilitas yang dapat menyebabkan penyebaran COVID-19,pembatasan sosial dan telah memperlambat penyebaran COVID-19.,SUPPORT
Jalur RANK-RANK-Ligand (RANKL) terlibat dalam pengembangan sel epitel timus meduler (mTECs) yang mengekspresikan Aire.,"Sel epitel timus meduler (mTEC) yang mengekspresikan aire memainkan peran penting dalam mencegah autoimunitas dengan mengekspresikan antigen yang dibatasi jaringan untuk membantu membersihkan repertoar reseptor sel T yang muncul dari spesifisitas reaktif diri. Di sini kami menunjukkan peran baru untuk populasi sel penginduksi CD4+3−, yang sebelumnya terkait dengan pengembangan struktur limfoid sekunder terorganisir dan pemeliharaan memori sel T dalam regulasi fungsional ekspresi gen promiscuous yang dimediasi Aire di timus. Sel CD4+3− berhubungan erat dengan mTEC pada timus dewasa, dan pada timus janin, penampakannya untuk sementara terkait dengan kemunculan mTEC Aire+. Kami menunjukkan bahwa sinyal RANKL dari sel ini mendorong pematangan progenitor CD80−Aire− mTEC yang mengekspresikan RANK menjadi CD80+Aire+ mTEC, dan bahwa transplantasi stroma timus yang kekurangan RANK ke dalam inang yang mengalami defisiensi imun menginduksi autoimunitas. Secara kolektif, data kami mengungkapkan mekanisme seluler dan molekuler yang mengarah pada pembentukan mTEC Aire+ dan menyoroti peran sel penginduksi CD4+3−RANKL+ yang sebelumnya tidak diketahui dalam toleransi diri intratimik.",SUPPORT
"BCG: Dapatkah vaksin tahun 1921 menyelamatkan nyawa dari Covid-19? Vaksin ini dirancang untuk menghentikan tuberkulosis, namun terdapat beberapa bukti bahwa vaksin ini juga dapat melindungi terhadap infeksi lain.",Serangkaian eksplorasi epidemiologi menunjukkan adanya hubungan negatif antara kebijakan vaksinasi nasional bacillus Calmette-Gurin (BCG) dan prevalensi serta kematian penyakit virus corona 2019 (COVID-19).,SUPPORT
Merokok ganja bisa membuat paru-paru lebih rentan terhadap Covid-19,"Karena banyak artikel telah melaporkan dampak merokok (tembakau dan ganja) dan vaping pada sistem serebrovaskular dan neurologis, dan mengingat bahwa perokok lebih rentan terhadap infeksi virus dan bakteri dibandingkan dengan bukan perokok, inilah saat yang tepat untuk mengeksplorasi kemungkinan korelasi merokok pada pasien COVID-19.",SUPPORT
"saat ini belum ada bukti bahwa hewan, termasuk hewan peliharaan, dapat tertular virus corona, dan tidak ada bukti bahwa hewan dapat menyebarkan virus tersebut","Meskipun beberapa hewan peliharaan menunjukkan banyak tanda klinis yang mengindikasikan infeksi virus corona, tidak ada hewan yang dinyatakan positif SARS-CoV-2 melalui RT-PCR dan tidak ada antibodi terhadap SARS-CoV-2 yang terdeteksi dalam darah mereka menggunakan uji imunopresipitasi.",SUPPORT
Virus ini bertahan lebih baik dalam cuaca dingin,"COVID-19, karena gejalanya yang biasa mirip flu, juga diperkirakan akan menunjukkan gejala musiman yang serupa dan mereda seiring dengan meningkatnya suhu global di belahan bumi utara seiring dengan dimulainya musim semi.",SUPPORT
