teks_klaim,is_claim,source,category
A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).,true,scifact,DIAGNOSIS
A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,true,scifact,TREATMENT
A country's Vaccine Alliance (GAVI) eligibility is not indictivate of accelerated adoption of the Hub vaccine.,true,scifact,PREVENTION
A deficiency of folate increases blood levels of homocysteine.,true,scifact,OTHER
A deficiency of vitamin B12 decreases blood levels of homocysteine.,true,scifact,NUTRITION
A deficiency of vitamin B6 decreases blood levels of homocysteine.,true,scifact,NUTRITION
A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,true,scifact,OTHER
"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.",true,scifact,OTHER
A high microerythrocyte count protects against severe anemia in homozygous alpha (+)- thalassemia trait subjects.,true,scifact,PREVENTION
A low percentage of hematopoietic progenitor cells are susceptible to HIV-1 infection ex vivo.,true,scifact,DIAGNOSIS
A mutation in HNF4A leads to an increased risk of developing diabetes by the age of 14 years.,true,scifact,RISK
A mutation in HNF4A leads to an increased risk of diabetes by the age of 14 years.,true,scifact,RISK
A single nucleotide variant the gene DGKK is strongly associated with increased risk of hypospadias.,true,scifact,RISK
A strong bias in the phage genome locations where the spacers were derived has been observed in many CRISPR subtypes that confer the immunity to phage.,true,scifact,PREVENTION
ALDH1 expression is associated with poorer prognosis for breast cancer primary tumors.,true,scifact,RISK
AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.,true,scifact,NUTRITION
APOE4 expression in iPSC-derived neurons results in decreased tau phosphorylation.,true,scifact,OTHER
ART has no effect on the infectiveness of HIV-positive people.,true,scifact,OTHER
ART substantially reduces infectiveness of HIV-positive people.,true,scifact,OTHER
ATF4 is a general endoplasmic reticulum stress marker.,true,scifact,MENTAL_HEALTH
ATM and Rad3 related protein are critical for sensing DNA damage.,true,scifact,NUTRITION
ATM and Rad3 related protein have no role in sensing DNA damage.,true,scifact,NUTRITION
AZT given with ribavirin increases anemia.,true,scifact,OTHER
Activated Cdk5 phosphorylates the ATM protein in response to DNA damage.,true,scifact,NUTRITION
Activated Cdk5 regulates DNA damage-induced neuronal death.,true,scifact,NUTRITION
Activation of PPM1D enhances p53 function.,true,scifact,OTHER
Activation of the Rac1 homolog CED-10 kills viable cells in SRGP-1 mutant Caenorhabditis elegans.,true,scifact,OTHER
Activator-inhibitor pairs are provided ventrally by Xrl-sizzled.,true,scifact,OTHER
Active H. pylori urease has a polymeric structure consisting of five distinct subunits.,true,scifact,OTHER
Active Ly49Q induces neutrophil polarization.,true,scifact,OTHER
Active Ly49Q prevents neutrophil polarization.,true,scifact,PREVENTION
Active caspase-11 participate in regulating phagosome-lysosome fusion.,true,scifact,OTHER
Active caspase-11 protein promotes pyroptosis.,true,scifact,NUTRITION
Acute ablation of KRAS causes severe growth impairment.,true,scifact,CAUSE
Acute ablation of Snail in the embryonic cortex affects the proliferation and number of embryonic cortical precursors.,true,scifact,OTHER
"Addition of BMP4, activin A, CHIR99021, and SU504 to reprogramming fibroblasts generates, expands and maintains cardiovascular progenitor cells (CPCs)",true,scifact,OTHER
Adult tissue-resident macrophages are seeded before birth.,true,scifact,OTHER
Adult tissue-resident macrophages possess a self-renewing capacity.,true,scifact,OTHER
Adult tissue-resident macrophages stem from the embryonal yolk sac and fetal liver.,true,scifact,OTHER
Aged patients are less susceptible to ischaemia/reperfusion injury.,true,scifact,OTHER
Aged patients are more susceptible to ischaemia/reperfusion injury.,true,scifact,OTHER
Aggravated inflammation is dependent on NLRP3 inflammasome activation.,true,scifact,OTHER
Albendazole is used to treat soil-transmitted helminths.,true,scifact,TREATMENT
Algerian physicians constitue the largest component of sub-Saharan Africa-trained physicians in the United States.,true,scifact,OTHER
Alirocumab treatment reduces apo(a) fractional clearance rate.,true,scifact,TREATMENT
Allogeneic mechanical circulatory support is not as effective as autologous mechanical circulatory support for treating acute myocardial infarction.,true,scifact,NUTRITION
Alteration of origin firing causes changes in termination zones of Okazaki fragments.,true,scifact,CAUSE
Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.,true,scifact,DIAGNOSIS
Amitriptyline is an effective treatment for chronic tension-type headaches.,true,scifact,TREATMENT
An M2-like phenotype in brown adipose tissue macrophages is quickly induced by cold exposure.,true,scifact,OTHER
Androgenetic haploid mouse embryonic stem cells (ESCs) can be derived and genetically manipulated in vitro.,true,scifact,OTHER
Angiotensin converting enzyme inhibitors are associated with decreased risk for functional renal insufficiency.,true,scifact,RISK
Anthrax spores are very difficult to dispose once they are dispersed.,true,scifact,OTHER
Anthrax spores remain deadly until affected areas are decontaminated.,true,scifact,OTHER
Antidepressants increase the severity of migraines.,true,scifact,OTHER
Antidepressants reduce the severity of migraines.,true,scifact,OTHER
Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,true,scifact,OTHER
Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,true,scifact,OTHER
Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.,true,scifact,TREATMENT
"Approximately 250,000 people are infected with human T-cell lymphotropic virus type 1 in the United Kingdom.",true,scifact,DIAGNOSIS
Assessing treatment adherence is more beneficial to clinical practice than measuring routine outcomes.,true,scifact,TREATMENT
Asymptomatic visual impairment screening in elderly populations leads to improved vision.,true,scifact,DIAGNOSIS
At least 85% of patients exposed to radiation have activated markers of myofibroblasts.,true,scifact,OTHER
Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.,true,scifact,TREATMENT
Autophagy deficiency in the liver increases vulnerability to insulin resistance.,true,scifact,OTHER
B cells go though plasmablast differentiation and antibody production by continuous expression of EBI2.,true,scifact,OTHER
B3-Galectin decreases cell resistance to tyrosine kinase inhibitors (TKIs) by engaging the alternate KRAS-RalB signaling complex downstream of EGFR.,true,scifact,DIAGNOSIS
B3-Galectin increases cell resistance to tyrosine kinase inhibitors (TKIs) by engaging the alternate KRAS-RalB signaling complex downstream of EGFR.,true,scifact,DIAGNOSIS
BCL-2 activation antagonizes the apoptotic effects of c-Myc.,true,scifact,OTHER
BCL-2 promotes the apoptotic effects of c-Myc.,true,scifact,OTHER
BLM gene encodes RecQ-class DNA helicase.,true,scifact,OTHER
BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,true,scifact,RISK
Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,true,scifact,DIAGNOSIS
Bacteriophagaes MS2 and Qβ are members of the Leviviridae.,true,scifact,OTHER
Bariatric surgery increases rates of colorectal cancer.,true,scifact,OTHER
Bariatric surgery increases rates of postmenopausal breast cancer.,true,scifact,OTHER
Bariatric surgery leads to negative outcomes in mental health.,true,scifact,TREATMENT
Bariatric surgery leads to positive outcomes in mental health.,true,scifact,TREATMENT
Bariatric surgery reduces colorectal cancer.,true,scifact,OTHER
Bariatric surgery reduces postmenopausal breast cancer.,true,scifact,OTHER
Basophils promote disease development in patients with systemic lupus erythematosus (SLE).,true,scifact,DIAGNOSIS
Bcp1 is a chaperone for Rpl23.,true,scifact,OTHER
Beta-band coherence is diminished for visible stimuli over invisible stimuli.,true,scifact,OTHER
Beta-band coherence is enhanced for visible stimuli over invisible stimuli.,true,scifact,OTHER
BiP is a general endoplasmic reticulum stress marker.,true,scifact,MENTAL_HEALTH
Binding of p53 to enhancer regions (p53BERs) regulates the activity of p53 transcription and cell cycle arrest through the production of p53-dependent eRNAs.,true,scifact,OTHER
Birth-weight is negatively associated with breast cancer.,true,scifact,RISK
Blocking the interaction between TDP-43 and respiratory complex I proteins ND3 and ND6 prevents TDP-43-induced neuronal loss.,true,scifact,PREVENTION
Bone Marrow (BM) transplantation is used to treat acute myeloid leukemia (AML),true,scifact,TREATMENT
Bone marrow cells don't contribute to adult macrophage compartments.,true,scifact,OTHER
British female students are bullied more than British male students.,true,scifact,OTHER
British male students are bullied more than British female students.,true,scifact,OTHER
Broadly HIV-1 Neutralizing Antibodies (bnAb) 10EB have no affinity for phospholipids.,true,scifact,OTHER
C2 works synergistically with A-769662 to activate dephosphorylated AMPK.,true,scifact,OTHER
CCL19 is a ligand for CCR7.,true,scifact,OTHER
CCL19 is predominantly present within dLNs.,true,scifact,OTHER
"CD28 initiates tonic signaling in conventional T cells, which causes an exhaustion phenotype and limited efficiency.",true,scifact,DIAGNOSIS
CD28 signals regulate trafficking of murine auto-reactive T cells into target tissues.,true,scifact,DIAGNOSIS
CD44v6 is not associated with constitutive and reprogrammed cancer stem cells driving cancer metastasis.,true,scifact,RISK
CDK6 shows impaired binding to loss-of-function variants of p18 INK4C.,true,scifact,OTHER
CDK6 shows improved binding to loss-of-function variants of p18 INK4C.,true,scifact,OTHER
CHOP is a general endoplasmic reticulum stress marker.,true,scifact,MENTAL_HEALTH
COPI coatmer is involved in lipid homeostasis.,true,scifact,OTHER
COPI coatmer is involved in viral replication.,true,scifact,OTHER
CRP is positively correlated with postoperative mortality following Coronary Artery Bypass Graft (CABG) surgery.,true,scifact,OTHER
Ca2+ cycling controls whole-body energy homeostasis in beige fat.,true,scifact,OTHER
Ca2+ cycling is a UCP1-dependent thermogenic mechanism.,true,scifact,OTHER
Ca2+ cycling is a UCP1-independent thermogenic mechanism.,true,scifact,OTHER
Cancer cells can stimulate the accumulation of intra-tumoural myeloid-derived suppressor cells by promoting granulocyte colony stimulating factor production.,true,scifact,OTHER
Cancer-associated fibroblasts (CAFs) are constituents of tumor microenvironments,true,scifact,OTHER
Cancer-associated fibroblasts (CAFs) have no known interaction with cancer cells in the formation and activation of CAFs.,true,scifact,OTHER
Cancer-associated fibroblasts (CAFs) interact with cancer cells to mediate formation and activation of CAFs.,true,scifact,OTHER
Cancers that initially benefit from epidermal growth factor receptor targeted therapies later become refractory through several mechanisms.,true,scifact,OTHER
Cardiac tissue-resident macrophages directly contribute to electrical activity.,true,scifact,OTHER
Carriers of HNF4A mutations are at reduced risk for diabetes.,true,scifact,RISK
Cell autonomous sex determination in somatic cells occurs in Galliformes.,true,scifact,OTHER
Cellular clocks are associated with mitosis timing in NIH 3T3 cells.,true,scifact,RISK
Cellular clocks are not predictive of mitosis timing in NIH 3T3 cells.,true,scifact,MYTH
"Cellular differentiation of embryonic stem cells is accompanied by changes in replication timing, transcription and nuclear localization.",true,scifact,OTHER
Certain immunomodulator-human dialyzable leukocyte extract (hDLE) peptides are recognized by toll-like receptors (TLRs) on macrophages and dendritic cells.,true,scifact,PREVENTION
Charcoal is an effective treatment for acute paraquat poisoning.,true,scifact,TREATMENT
Charcoal shows no benefit for acute paraquat poisoning.,true,scifact,OTHER
Chemical injury represses transglutaminase 2 activity.,true,scifact,OTHER
Chenodeoxycholic acid treatment decreases brown adipose tissue activity.,true,scifact,TREATMENT
Chenodeoxycholic acid treatment increases brown adipose tissue activity.,true,scifact,TREATMENT
Chinese individuals with TT homozygosity in the MTHFR gene are less vulnerable to strokes caused by low levels of folate intake.,true,scifact,CAUSE
Chinese individuals with TT homozygosity in the MTHFR gene are more vulnerable to strokes caused by low levels of folate intake.,true,scifact,CAUSE
Chlamydia trachomatis is most prevalent in the UK among individuals in their 50s and 60s.,true,scifact,OTHER
Chlamydia trachomatis is most prevalent in the UK among sexually-experienced individuals aged 16 to 24.,true,scifact,OTHER
"Cholesterol loading induces KLF4 expression in VSMCs, resulting in the expression of pro-inflammatory cytokines.",true,scifact,OTHER
Chronic HIV stimulation of B cells leads to the premature exhaustion of B cells.,true,scifact,OTHER
Cis-acting lncRNAs control the expression of genes that are positioned in the vicinity of their transcription sites.,true,scifact,OTHER
Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to disrupt the inflammatory cycle.,true,scifact,NUTRITION
Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to perpetuate the inflammatory cycle via induction of autoantibodies.,true,scifact,NUTRITION
Clathrin stabilizes the spindle fiber apparatus during mitosis.,true,scifact,MYTH
Cnn1 recruitment varies with cell cycle timing.,true,scifact,OTHER
Cognitive behavioral therapy is an ineffective treatment for insomnia,true,scifact,TREATMENT
Combination nicotine replacement therapies with varenicline or bupropion are more effective after 12 weeks of reatment compared to varenicline monotherapy.,true,scifact,TREATMENT
"Commelina yellow mottle virus (ComYMV) has three typical badnavirus ORFs, capable of encoding proteins 23, 15, and 216 kD.",true,scifact,DIAGNOSIS
Commelina yellow mottle virus' (ComYMV) genome consists of 2140 baise pairs.,true,scifact,DIAGNOSIS
Comparative transcriptome analysis identified new platelet proteins with structural features suggesting a role in platelet function.,true,scifact,NUTRITION
Concentrations of SNV and CNV in stem-cell regulatory elements and binding sites of transcription factors in iPSC-lines are distinct from their founding cells.,true,scifact,OTHER
Consumption of whole fruits increases the risk of type 2 diabetes.,true,scifact,NUTRITION
Continued HHV-8 transmission among MSM in San Francisco may be explained by urogenital contact.,true,scifact,OTHER
Converting apoE4 to apoE3 by gene editing prevents the pathology associated with apoE4 in human iPSCderived neurons.,true,scifact,PREVENTION
Converting apoE4 to apoE3 by gene editing worsens the pathology associated with apoE4 in human iPSCderived neurons.,true,scifact,RISK
Cost effectiveness evaluations based on cRCT data accurately reflect prices for patients in actual clinical practice.,true,scifact,TREATMENT
Cost effectiveness evaluations based on cRCT data lack external validity.,true,scifact,OTHER
Crossover hot spots are found within gene promoters in Saccharomyces cerevisiae.,true,scifact,OTHER
Cyclin A2 destruction is necessary to switch from unstable to stable kt-mt attachments in mitosis.,true,scifact,MYTH
Cytochrome c is transferred from cytosol to the mitochondrial intermembrane space during apoptosis.,true,scifact,OTHER
Cytosolic proteins bind to iron-responsive elements on mRNAs coding for TFRC1.,true,scifact,NUTRITION
DMS3 protein enables Pol V transcription in vivo.,true,scifact,NUTRITION
DRD1 proteins enable Pol V transcription in vivo.,true,scifact,NUTRITION
DUSP4 decreases apoptosis.,true,scifact,OTHER
DUSP4 downregulation deactivates the Ras-ERK pathway,true,scifact,OTHER
DUSP4 increases apoptosis.,true,scifact,OTHER
De novo assembly of sequence data has fewer specific contigs than unassembled sequence data.,true,scifact,OTHER
De novo assembly of sequence data has shorter contigs than unassembled sequence data.,true,scifact,OTHER
Decrease of p62 in prostate tumor stroma results in defective autophagy.,true,scifact,OTHER
Decreased conversion of PGE 2 to PPARy ligand 15-ket-PGE 2 causes accumulation of PGE.,true,scifact,CAUSE
Decreased diastolic blood pressure (DBP) is associated with abdominal aortic aneurysm.,true,scifact,RISK
Deleting Raptor increases G-CSF levels.,true,scifact,OTHER
Deletion of ATM and Rad3 related protein is not predictive of acute tissue loss.,true,scifact,NUTRITION
Deletion of ATM and Rad3 related protein leads to acute tissue loss.,true,scifact,NUTRITION
Deltex has no known interactions with eIF3f.,true,scifact,OTHER
Deltex interacts with eIF3. There is no known interaction between Deltex and elF3,true,scifact,OTHER
Depletion of T-helper 17 (Th17) cells during simian immunodeficiency virus (SIV) infection decreases dissemination of Salmonella Typhimurium from the gut.,true,scifact,DIAGNOSIS
Depletion of T-helper 17 (Th17) cells during simian immunodeficiency virus (SIV) infection increases dissemination of Salmonella Typhimurium from the gut.,true,scifact,DIAGNOSIS
Depletion of nitric oxide is responsible for vasospasm.,true,scifact,OTHER
Deregulation of HAND2 is a crucial step in endometrial carcinogenesis in mice.,true,scifact,OTHER
Destination container port throughput(CPT) is negatively related to dengue virus (DENV-1) diffusion in air traffic shipments.,true,scifact,DIAGNOSIS
Destination container port throughput(CPT) is positively related to dengue virus (DENV-1) diffusion in air traffic shipments.,true,scifact,DIAGNOSIS
Dexamethasone increases risk of postoperative bleeding.,true,scifact,RISK
Diabetes remission occurs less in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.,true,scifact,TREATMENT
Diabetes remission occurs more in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.,true,scifact,TREATMENT
Diabetic patients with acute coronary syndrome experience decreased short-term and long-term risk for bleeding events.,true,scifact,DIAGNOSIS
"Differentiated E2f-1, -2, -3 TKO cells in the intestine do not exhibit apoptosis.",true,scifact,DIAGNOSIS
Differentiation of progenitor cells to myeloid cells is skewed upon activation of insulin signaling.,true,scifact,DIAGNOSIS
Differentiation of progenitor cells to myeloid cells is skewed when insulin signaling is suppressed.,true,scifact,DIAGNOSIS
Diminished ovarian reserve is a reliable indicator of infertility in a non-infertile population.,true,scifact,OTHER
Distant CREs are important for transcriptional regulation.,true,scifact,OTHER
Distant CREs are less conserved among species.,true,scifact,OTHER
Drosophila supracellular actomyosin structures are found at boundaries in wing imaginal discs.,true,scifact,OTHER
Dscam1 acts as a hypervariable pattern-recognition receptor for the immune system.,true,scifact,PREVENTION
"During non-homologous end joining, the ligation step is not as tolerant of disrepairs and other distortions when joining 3' of strand breaks as compared to 5' strand breaks.",true,scifact,OTHER
"During non-homologous end joining, the ligation step is not as tolerant of disrepairs and other distortions when joining 5' of strand breaks as compared to 3' strand breaks.",true,scifact,OTHER
During the primary early antibody response activated B cells migrate toward the inner-and outer follicular areas where oxysterol accumulation is generated by stromal cells.,true,scifact,OTHER
EG7 tumors can be killed by systemic oxaliplatin primed CD8+ T cells from the tumor-draining lymph node cells.,true,scifact,OTHER
EGR2 is important to myelination of the peripheral nervous system.,true,scifact,OTHER
ER-localized phosphatase Sac1 processes PI4P through coordination with OSBP and the endosome-localized protein sorting nexin 2.,true,scifact,NUTRITION
ERAP1 SNPs are epistatic to HLA alleles for ankylosing spondylitis.,true,scifact,OTHER
Early patent ductus ateriosus (PDA) screening decreases in-hospital mortality.,true,scifact,DIAGNOSIS
Early patent ductus ateriosus (PDA) screening increases in-hospital mortality.,true,scifact,DIAGNOSIS
"Ectopic expression of Sall4, Nanog, Esrrb, and Lin28 generates induced pluripotent stem cells from mouse embryonic fibroblasts more efficiently than other factor combinations.",true,scifact,OTHER
Egr2 regulates the homeostasis of B and T cells.,true,scifact,OTHER
Egr3 regulates the homeostasis of B and T cells.,true,scifact,OTHER
Eilat virus (EILV) produced in mosquitos elicits rapid and long-lasting neutralizing antibodies in nonhuman primates.,true,scifact,DIAGNOSIS
Elevated cell-free mitochondrial DNA levels are associated with mortality.,true,scifact,RISK
Eliminating the last sporadic cases of malaria requires considerable funding.,true,scifact,OTHER
Emodin forms hydrogen bonds with residues involved in PGAM1 substrate binding.,true,scifact,OTHER
Energy balance requires hypothalamic glutamate neurotransmission.,true,scifact,OTHER
Enhanced early production of inflammatory chemokines damages viral control in the lung.,true,scifact,OTHER
Environmental factors can influence the development of breast cancer.,true,scifact,OTHER
Environmentally-induced senescence is mimicked in disease modeling by adding specific molecules to the culture system.,true,scifact,DIAGNOSIS
Epidemiological disease burden from noncommunicable diseases is more prevalent in high economic settings.,true,scifact,DIAGNOSIS
Ethanol stress increases the expression of IBP in bacteria.,true,scifact,MENTAL_HEALTH
Ethanol stress increases the expression of PSP in bacteria.,true,scifact,MENTAL_HEALTH
Ethanol stress increases the expression of SRL in bacteria.,true,scifact,MENTAL_HEALTH
Ethanol stress lowers the expression of PSP in bacteria.,true,scifact,MENTAL_HEALTH
Ethanol stress reduces the expression of SRL in bacteria.,true,scifact,MENTAL_HEALTH
Excess gestational weight gain is associated with obesity-related pregnancy outcomes.,true,scifact,RISK
Exercise increases cancer mortality rates among Chinese citizens.,true,scifact,LIFESTYLE
Exercise reduces cancer mortality rates among Chinese citizens.,true,scifact,LIFESTYLE
Exhaustion of B cells contributes to poor Ab response in HIV-infected individuals.,true,scifact,OTHER
Exposure to fine particulate air pollution is unrelated to anxiety prevalence.,true,scifact,MENTAL_HEALTH
"Expression of MSX2 is induced 3 hours after the addition of BMP4, which is earlier than T and CDX2.",true,scifact,OTHER
Expression of oncolytic virus antigens as peptides makes relapse more likely.,true,scifact,DIAGNOSIS
Expression of oncolytic virus antigens as peptides permits additional protection against relapse.,true,scifact,DIAGNOSIS
F4/80+ macrophages regulate mature osteoblast maintenance.,true,scifact,OTHER
FACT and other histone chaperone(s) compensate for Histone 2A (H2A)-histone 2B (H2B) dimer eviction during the histone exchange process.,true,scifact,OTHER
Female carriers of the Apolipoprotein E4 (APOE4) allele have decreased risk for dementia.,true,scifact,NUTRITION
Female carriers of the Apolipoprotein E4 (APOE4) allele have increased risk for Alzheimer's disease.,true,scifact,DIAGNOSIS
Female carriers of the Apolipoprotein E4 (APOE4) allele have longer lifetime exposure to estrogen due to an increased reproductive period.,true,scifact,NUTRITION
Female carriers of the Apolipoprotein E4 (APOE4) allele have shorter lifetime exposure to estrogen due to a decreased reproductive period.,true,scifact,NUTRITION
Fibroblast Growth Factor is a ligand which signals through receptor tyrosine kinases.,true,scifact,DIAGNOSIS
Fibroblast growth factor 21 protects against atherosclerosis by modulating adiponectin and SREBP2 levels.,true,scifact,PREVENTION
Flexible molecules experience less steric hindrance in the tumor microenviroment than rigid molecules.,true,scifact,OTHER
Folate and vitamin B12 levels influence the association between homocysteine and preeclampsia.,true,scifact,NUTRITION
"For every 1,000 children with cerebral palsy, more than 300 of them are premature or underweight at birth.",true,scifact,MATERNAL_CHILD
Forkhead 0 (fox0) transcription factors are involved in apoptosis.,true,scifact,OTHER
Forkhead 0 (fox0) transcription factors are involved in cellular differentiation.,true,scifact,OTHER
Formation of N-terminal pyroglutamate by glutamine cyclase (GC) competes with NTAQ1 for Nt-Gln substrates.,true,scifact,OTHER
FoxO3a activation in neuronal death is inhibited by reactive oxygen species (ROS).,true,scifact,NUTRITION
Foxk2 regulates autophagy genes in muscle cells and fibroblast cells.,true,scifact,OTHER
Foxp3 enables the expression of transcriptional regulators implicated in memory T cell development.,true,scifact,OTHER
Foxp3 represses the expression of transcriptional regulators implicated in memory T cell development.,true,scifact,OTHER
G-CSF increases the expansion and infiltration of MDSCs into tumors.,true,scifact,OTHER
GATA3 regulates cell cycle progression in bone marrow hematopoietic stem cells.,true,scifact,OTHER
GATA3 regulates self-renewal capacity in bone marrow hematopoietic stem cells.,true,scifact,OTHER
Gastric infection with Helicobacter pylori decreases risk of gastric cancer in humans.,true,scifact,DIAGNOSIS
Gastric infection with Helicobacter pylori increases risk of gastric cancer in humans.,true,scifact,DIAGNOSIS
Gastric lavage is an effective treatment for acute paraquat poisoning.,true,scifact,TREATMENT
General exercise therapy is more effective than rotator cuff exercises in reducing pain and improving function of the shoulder.,true,scifact,LIFESTYLE
General exercise therapy is more effective than scapular stabilizer exercises in reducing pain and improving function of the shoulder.,true,scifact,LIFESTYLE
Genes involved in pre-mRNA splicing have a significant impact on genome stability.,true,scifact,DIAGNOSIS
Genes regulated by Esrrb transcription factor are sensitive to Mbd3 function.,true,scifact,OTHER
Genetic deficiency of mast cells leads to decreased weight gain in a mouse model of diet-induced obesity.,true,scifact,NUTRITION
Genetic deletion of JAM-A increases gut permeability.,true,scifact,OTHER
Genomic aberrations of metastases provide information for targeted therapy.,true,scifact,TREATMENT
Genomic sequences involved in alternative splicing responsible for Hutchinson-Gilford progeria syndrome (HGPS) are abundant in the ''progerinonly'' allele of Lmna knock-in models.,true,scifact,DIAGNOSIS
Glial calcium waves influence seizures.,true,scifact,OTHER
"Glioblastoma multiforme (GBM) is characterized by extensive invasion, rapid growth, necrosis, and angiogenesis.",true,scifact,OTHER
Glucose restriction to 0.05% reduces RLS (replicative life span) by 20-40% in S. cerevisiae.,true,scifact,OTHER
Glycan adaptation involves insertion-deletion events.,true,scifact,OTHER
Glycan adaptation is rarely observed in the B-cell repertoire.,true,scifact,OTHER
Gpr124 increases BBB breakdown in mouse models of ischemic stroke.,true,scifact,OTHER
Gpr124 suppresses BBB breakdown in mouse models of ischemic stroke.,true,scifact,OTHER
Guanine nucleotide dissociation inhibitor (Rho-GDI) interacts with the p75 NTR death domain,true,scifact,NUTRITION
Guanine nucleotide exchange factors (GEFs) mediate RhoA activation in response to tensional forces on fibronectin-binding integrins.,true,scifact,OTHER
H.pylori-mediated gastric cancer occurs due to the accumulation of mutations in host epithelial cells.,true,scifact,OTHER
"H4 G94P proteins induce chromatin assembly, which increases free histones.",true,scifact,NUTRITION
H4 G94P proteins induce degradation of free histones via Rad53-dependent mechanisms.,true,scifact,NUTRITION
"H4 G94P proteins inhibit chromatin assembly, which decreases free histones.",true,scifact,NUTRITION
H4 G94P proteins suppress degradation of free histones via Rad53-dependent mechanisms.,true,scifact,NUTRITION
HAND2 methylation is a key step in early endometrial carcinogenesis.,true,scifact,OTHER
HIV trans-activator protein (TAT) effectively transports large and small molecules across cellular membranes into larger populations of neurons.,true,scifact,NUTRITION
HNF4A mutations are associated with macrosomia in infancy.,true,scifact,RISK
HOXB4 facilitates HSC expansion when co-cultured with HSCs.,true,scifact,OTHER
HOXB4 is a highly expressed component of cellular secretome from fetal liver cell populations.,true,scifact,OTHER
HSCT-T dosage may not be diagnostic if the onset of symptoms occurs less than 3 hours before AMI.,true,scifact,DIAGNOSIS
Having a main partner improves HIV outcomes.,true,scifact,OTHER
Having a main partner worsens HIV outcomes.,true,scifact,OTHER
HbA1c consistently overestimates glycemic control in black individuals with Sickle cell trait (SCT).,true,scifact,OTHER
Headaches are correlated with cognitive impairment.,true,scifact,OTHER
Healthy volunteers exhibit rapid and transient increase of cellular ATP after being bolus-injected with fructose.,true,scifact,TREATMENT
Helicobacter pylori-induced aberrant NF-kB-dependent expression of activation-induced cytidine deaminase contributes to the mutagenesis of host DNA.,true,scifact,OTHER
Helminths interfere with immune system control of coinfections by microbial pathogens 16.,true,scifact,DIAGNOSIS
Hematopoietic Stem Cell purification reaches purity rates above 90%.,true,scifact,OTHER
High levels of CRP lead to a higher risk of exacerbations in chronic obstructive pulmonary disease (COPD).,true,scifact,RISK
"Higher plasma levels of I-carnitine, when associated with trimethylamine N-oxide, are negatively correlated with cardiovascular events in humans.",true,scifact,RISK
"Higher plasma levels of I-carnitine, when associated with trimethylamine N-oxide, are positively correlated with cardiovascular events in humans.",true,scifact,RISK
