teks_klaim,label
Judith Zaffirini Mengatakan 11 persen kecelakaan mobil fatal di negara ini pada tahun 2009 disebabkan oleh gangguan mengemudi.,true
Pejabat: Kawanan rusa Wisconsin punah karena penyakit.,true
Some people have eschewed retirement homes in favor of living on cruise ships.,true
New York mengeluarkan aturan yang lebih ketat tentang pengecualian vaksin medis.,true
Christine Blasey Ford melontarkan tuduhan penyerangan seksual terhadap Hakim Neil Gorsuch selama proses pencalonannya di Mahkamah Agung.,false
Secara fisik tidak mungkin bagi seorang pria bersenjata di klub malam Orlando untuk menembakkan peluru sebanyak yang dilaporkan dalam waktu yang ditentukan.,false
Gairah terhadap vodka membunuh ribuan pria Rusia.,true
Orang mengira AIDS sudah selesai -- padahal sebenarnya belum selesai.,true
100% Murni? Kualitas air di Selandia Baru yang memburuk menimbulkan bau busuk.,true
30.000 ilmuwan telah menandatangani petisi yang menyatakan bahwa tidak ada bukti ilmiah yang meyakinkan mengenai perubahan iklim antropogenik.,false
Ini adalah email yang diteruskan yang menyarankan penyanyi Lagu Kebangsaan di acara olahraga untuk berhenti menata gayanya dan menyanyikan lagu seperti yang ditulis dan diajarkan di sekolah.  Penulis diduga adalah mantan Kolonel Marinir AS.,false
"Setelah operasi otak, Jimmy Carter kembali ke gereja kampung halamannya.",true
Negara Guinea di Afrika Barat melaporkan kematian akibat demam Lassa.,true
Polisi Charlottesville diperintahkan untuk mundur selama demonstrasi di sana pada bulan Agustus 2017 yang menyebabkan bentrokan dengan kekerasan antara pengunjuk rasa nasionalis kulit putih dan pengunjuk rasa tandingan yang menyebabkan kematian seorang pengunjuk rasa kontra berusia 32 tahun.,false
Wabah Hepatitis A meningkat menjadi 11 kasus di Kabupaten Yakima.,true
Sebuah distrik sekolah di Missouri meminta orang tua untuk menandatangani surat pernyataan pelepasan tanggung jawab COVID-19 sebelum tahun ajaran 2020-2021.,true
Kelelawar berumur panjang memberikan petunjuk tentang penyakit dan penuaan.,true
"Tembakan cepat menggantikan nip, selipkan",false
"Wabah campak di Samoa menewaskan 20 orang, kebanyakan anak-anak.",true
Kearney akan mempelajari larangan vaping di tempat umum.,true
Resolusi Tahun Baru mungkin lebih merupakan penundaan daripada motivasi.,true
"Komedian George Carlin menulis esai """"The Paradox of our Age"","" yang sering disalahartikan sebagai """"The Paradox of Our Time"".",false
"Gubernur Andrew Cuomo ""hanya mengatakan jika kami dapat membagikan 20 persen kelebihan Anda, ventilator yang tidak terpakai, untuk membantu orang-orang di bagian lain negara bagian ini secara sukarela, itu akan menjadi hal yang luar biasa. Tentu saja, ada reaksi terhadap hal itu, dan itu tidak positif.",false
"Tes darah eksperimental dapat mendeteksi kanker kulit melanoma sejak dini, demikian temuan penelitian",true
"Neville Chamberlain mengatakan kepada rakyat Inggris: ‘Terimalah Nazi. Ya, mereka akan mendominasi benua Eropa, tapi itu bukan masalah kita. Mari kita menenangkan mereka. Mengapa? Karena itu tidak bisa dilakukan. Kita tidak mungkin melawan mereka.’",false
Para dokter memperingatkan akan adanya permintaan untuk 'penyemaian vagina' meskipun buktinya sedikit.,true
Obat multiple sclerosis oral menunjukkan harapan,false
Ilmuwan: Keluhan tentang serangan hewan pengerat menyebabkan penembakan.,true
"""Selama abad ke-19 dan ke-20, beberapa kota di AS memberlakukan apa yang disebut""""undang-undang buruk"""" yang melarang orang-orang yang dianggap """"berpenyakit, cacat, dimutilasi, atau dengan cara apa pun cacat sehingga menjadi objek yang tidak sedap dipandang atau menjijikkan atau orang yang tidak patut"""" berada di ruang publik.""",true
"""Marco Rubio Mengatakan Presiden Barack Obama bisa """"pada dasarnya"""" melegalkan semua imigran di sini secara ilegal """"dengan tanda pena.""",false
"""Tangkapan layar dari"" istri yang pro-kehidupan """" adalah ""postingan nyata oleh seorang aktivis anti-aborsi,"" yang mengeluhkan ketidaknyamanan dalam merawat bayi yang tidak mampu ia beli dan tidak direncanakannya.",true
"Vincent Fleck, ayah dari seorang dokter yang membocorkan informasi medis Hillary Clinton kepada pers, meninggal mendadak dan dalam keadaan yang mencurigakan.",false
"Sel induk jantung dari jantung muda dapat meremajakan jantung tua, menurut studi baru",false
"""Sebuah video menggambarkan seorang pedagang Tiongkok membuat ""kubis sintetis"" untuk dijual di restoran dan supermarket Amerika.""",false
Paten AS 7897744 dan 8506968 ditujukan untuk SARS.,true
Satu dari empat orang Amerika diminta untuk tinggal di rumah ketika Kongres mendekati stimulus $1 triliun.,true
Eksklusif: WHO dan Kongo mengincar aturan yang lebih ketat untuk perawatan Ebola dibandingkan masalah imunitas.,true
Korban campak di Samoa mencapai 42 orang ketika negara-negara mengirimkan tim medis dan perbekalan.,true
Peningkatan kecelakaan mobil terjadi setelah Super Bowl.,true
"Tes ""biopsi cair"" meningkatkan hasil kesehatan dan dapat menghemat lebih dari $500 juta per tahun untuk sistem layanan kesehatan AS""",false
Pejabat Maine menyelidiki kelompok penyakit Legiuner.,true
"Tanaman """"Gympie-Gympie"""" Australia menyebabkan rasa sakit yang luar biasa sehingga menyentuhnya kemungkinan besar merupakan hukuman mati.""",false
Aktris Jamie Lee Curtis mengakui dalam sebuah wawancara bahwa ia dilahirkan dengan organ seks pria dan wanita.,false
Jamur hitam ditemukan di dalam wadah lip balm eos.,true
Anggaran Ryan menghilangkan Medicare dalam 10 tahun dan mengubahnya menjadi program voucher.,false
Jumlah kematian akibat virus corona di Prancis mencapai angka tertinggi baru seiring bertambahnya jumlah korban di panti jompo.,true
"Peringatan tersebar di media sosial tentang produk Cadbury yang terinfeksi darah HIV positif pada minggu-minggu menjelang Paskah, ketika banyak produk Cadbury dibeli.",false
Michele Bachmann Mengatakan vaksin untuk mencegah HPV dapat menyebabkan keterbelakangan mental.,false
Vitamin C Dapat Mengurangi Bahaya pada Paru-Paru Bayi Akibat Merokok Selama Kehamilan,false
Formula Khusus Bayi Mungkin Membantu Melindungi Bayi dari Diabetes Tipe 1,true
"Dengan maraknya toko vape di AS, pemilik mengincar pasar ganja baru.",true
Sebuah laporan bahwa pembunuhan seorang pejabat tinggi Partai Demokrat bernama Seth Rich ketika dia sedang dalam perjalanan untuk memberikan kesaksian tentang Hillary Clinton telah menyebabkan FBI menangkap apa yang disebut sebagai “Tim Pembunuh” Clinton.,false
Wanita Inggris-Iran yang ditahan di Iran dipindahkan ke bangsal psikiatris.,true
Tentang penggunaan standar Common Core untuk pengajaran bahasa Inggris dan matematika,false
"""Mark Pocan Mengatakan Scott Walker baru-baru ini mengatakan"" ""dia mengalami kebotakan karena kepalanya terbentur lemari, dan itu bukan lelucon, dia sebenarnya mengatakan bahwa kebotakannya terjadi karena kepalanya terbentur lemari.""",true
"Bahkan air kemasan yang mahal sekalipun, seperti Perrier dan Evian, tidak memiliki kualitas yang cukup baik untuk dipompa keluar dari tambang di Southwest Virginia, menurut peraturan EPA.",false
"Agar tetap bugar saat liburan, jangan hentikan rutinitas: ahlinya.",true
FDA memperluas penggunaan obat Novartis MS untuk pasien anak,false
"Obat diabetes memang manjur, namun mempunyai efek samping yang serius",false
"""Presiden Obama telah meminta semua warga Amerika """"merayakan hubungan seks sesama jenis"""" pada bulan Juni 2016.""",false
"""Saya tidak pernah menyerukan pemisahan"" Irak.",true
"2 ilmuwan berbagi hadiah $500,000 untuk karyanya di bidang biologi kanker.",true
Tes darah baru yang menjanjikan adalah yang pertama untuk mendeteksi jaringan parut pada hati,false
Dokter mendesak tes dasar untuk kanker prostat,false
Departemen Pertahanan Amerika Serikat mengunggah peringatan Pertempuran Bulge di media sosial — yang ditulis dari sudut pandang Nazi.,true
“Sinar matahari sebenarnya bisa membunuh (novel virus corona)”,false
Hakim memerintahkan perusahaan kesehatan hewan Australia untuk membayar $33K.,true
Indicators for Dynamic School Decision-Making,true
Ted Kaczynski memiliki kurungan yang tidak seketat remaja di Lincoln Hills.,true
"Obesitas di AS mulai menurun, namun dengan tingkat yang tinggi: laporkan.",true
"Dengan sorak-sorai, para perawat di New York menyambut bala bantuan dari seluruh AS.",true
"Pil dapat menghapus kenangan menyakitkan, menurut penelitian",false
"(Untuk) kelas pekerja kulit putih Amerika, angka kematian di kalangan pria kulit putih naik 20 persen.",false
Rick Perry Mengatakan ada 50 juta aborsi sejak keputusan Roe v. Wade.,true
Kematian di Singapura 'tidak bisa dihindari' ketika virus corona menyebar secara global - menteri.,true
Sebuah foto menunjukkan kotak antik berisi dekorasi salju palsu yang terbuat dari asbes karsinogen.,true
"Ketika pelanggaran kendali mutu meningkat, kepala FDA berangkat ke India.",true
"Kematian akibat virus corona di Italia melonjak 627 dalam sehari, dan lansia berisiko tinggi.",true
Obat skizofrenia menunjukkan harapan dalam uji coba,true
Mahasiswa di universitas Connecticut didiagnosis menderita meningitis.,true
Apa yang Kami Pelajari Tentang Mengobati COVID,true
Rabies ditemukan pada sapi jantan di Larimer County.,true
"Kanker, diabetes meninggalkan sidik jari di darah, serum.",true
"""Kelly Loeffler memiliki """"sejarah panjang dalam menyumbang kepada Partai Demokrat yang mendukung aborsi.""",false
Tiongkok melonggarkan larangan pengangkutan babi untuk memastikan pasokan di tengah demam babi Afrika.,true
Gandakan penelitian pertanian untuk membantu kelompok termiskin di dunia: Bill Gates.,true
Miliarder teknologi seperti Bill Gates dan Steve Jobs menganjurkan pembatasan penggunaan teknologi oleh anak-anak.,true
Uji Coba Vaksin COVID-19 AstraZeneca Dilanjutkan di Inggris,true
Pusat Pengendalian dan Pencegahan Penyakit (CDC) telah mengeluarkan peringatan bahwa produsen di Tiongkok membuat kondom menjadi ikat rambut.,false
Tes prenatal baru memberikan jawaban yang lebih jelas dengan lebih cepat,true
Sebuah obituari yang tersebar luas mengklaim bahwa Great Barrier Reef telah punah setelah 25 juta tahun berlalu.,false
Merindukan satu pint? Pabrik bir Brussel mengantarkan ke rumah-rumah selama lockdown virus corona.,true
Obat Theranostic mempersonalisasi pencitraan dan terapi kanker prostat: Gabungan pencitraan PET dan terapi radionuklida menawarkan harapan baru untuk kanker prostat stadium lanjut,false
"""Anak-anak Ember Sampah""""Corona Mona"""" memperkirakan pandemi virus corona/COVID-19.""",false
"""Tim Pawlenty Mengatakan para ilmuwan""""berdebat"""" mengenai apakah menjadi gay adalah sebuah pilihan.""",false
Studi baru mengungkapkan pola makan segar pengganti alpukat secara signifikan mengubah profil lipid,false
Sekolah piagam Wisconsin terbuka untuk siswa dari semua kemampuan.,true
"Operasi Untuk Penderitaan Sinus: Lebih Baik, Tapi Masih Belum Ada Obatnya",true
Perangkat Jantung Implan Memiliki Manfaat 'Dunia Nyata': Belajar,false
"Pengingat Teks Membantu Orang Menurunkan Kolesterol, Tekanan Darah",true
Karen Pence: ‘Tidak apa-apa jika tidak baik-baik saja’ selama pandemi.,true
"""Sebuah foto menunjukkan selebaran yang dipasang untuk""""End the Lockdown Rally"""" di Staten Island.""",true
Pemerintah Italia menyerukan penangkapan Bill Gates.,false
Jalan menuju ObamaCare menjadi undang-undang dimulai ketika Charlie Crist mendukung stimulus Presiden Obama sebesar $787 miliar.,false
"Menanggapi pertanyaan dalam wawancara CNN pada bulan Juli 2020 tentang apa yang akan terjadi jika wabah COVID-19 terjadi di sekolah, Menteri Pendidikan AS Betsy DeVos mengatakan, “Anda tidak dapat merencanakan sesuatu yang belum terjadi.”",false
"Jika Anda tidak ingin menggunakan USPS untuk mengirimkan surat suara, Anda mungkin dapat membawanya langsung ke Dewan Pemilihan Umum atau tempat pemungutan suara setempat untuk memastikan penerimaannya.",true
Perokok pasif membunuh 600.000 orang per tahun: studi WHO.,true
Perangkat dan aplikasi kualitas udara pintar membantu Anda bernapas lebih mudah,false
Latihan Vixen memadukan kebugaran kardio yang menarik dengan acara malam perempuan.,true
"""Perubahan iklim ""berhubungan langsung"" dengan pertumbuhan terorisme.""",false
Gas akan mencapai $4 per galon berdasarkan rencana pembatasan dan perdagangan.,false
Northam mengusulkan $22 juta untuk meningkatkan hasil kesehatan ibu.,true
"""Paket dari Tiongkok dapat menyebarkan virus corona""",false
"Buku ""Otak Pria"" menjelaskan cara berpikir pria.""",true
Novel 'Dracula' karya Bram Stoker menampilkan vampir tituler yang tidak dapat mengekspos dirinya ke sinar matahari dan dibunuh dengan tiang kayu.,false
PENYEMBUHAN KANKER? FDA MENGUMUMKAN GEN ASAL SERANGAN OBAT AGRESIF BARU,false
Treadmill Aneh Dapat Membantu Penyintas Stroke,true
Penangguhan apotek dicabut di West Virginia yang dilanda narkoba.,true
Mengapa Biogen menarik napas lega dengan data Alzheimer terbaru,true
"""CDC mengaitkan wabah cacing parasit dengan penggunaan ""pengisi cacing"" pada roti daging sapi McDonald's.""",false
Tidak ada data yang mengatakan bahwa zona bebas senjata telah menyelamatkan banyak nyawa.,true
"""Presiden Obama telah mulai menyita senjata"" ""secara paksa"".",false
Facebook telah melarang penjualan senjata api,true
Seng Dapat Mencegah dan Memperpendek Pilek,false
"Hillary Clinton Mengatakan Donald Trump berjanji untuk mencabut Obamacare, membangun tembok, melarang Muslim, dan banyak lagi.",true
"Pangeran menawan: Kate melahirkan anak laki-laki, di rumah saat makan malam.",true
Peringatan Medis: Pemerintah Menyetujui Pengobatan Depresi Baru,false
"Sebuah artikel yang diterbitkan dalam jurnal medis merujuk pada julukan untuk terapi penggantian hormon yang mencakup """"antiboyotik, cairan transmisi, dan Notorious H.R.T.""",true
"""Sebuah meme yang mengklaim bahwa serial animasi populer""""The Simpsons"""" meramalkan Greta Thunberg menyertakan gambar asli dan tidak berubah dari acara tersebut, dengan Lisa Simpson memelototi Donald Trump.""",false
Hong Kong akan mengkarantina semua pengunjung untuk menjaga keberhasilan upaya virus corona.,true
Para orang tua harus mewaspadai obat jalanan baru yang bentuknya seperti gummy bear yang dapat diberikan sebagai permen Halloween.,false
Universitas Waterloo mengembangkan cara baru untuk melawan penularan HIV,false
Statistik menunjukkan 2 hingga 3 wanita Texas per minggu mengalami komplikasi besar dan 10 wanita per minggu mencari bantuan di UGD setelah aborsi.,false
Baking Soda Meningkatkan Performa Atletik,false
Australia menjanjikan bantuan untuk wilayah Pasifik yang waspada terhadap virus corona ketika topan melanda.,true
Kafe sains menawarkan sedikit pembelajaran.,true
Beberapa nama terbesar dalam teknologi Tiongkok.,true
Kelaparan Tiongkok akan teripang mencapai kepulauan Sierra Leone.,true
Gedung Putih Meledak Dalam RAGE Setelah Obama Diundang ke Pernikahan Kerajaan – Trump DITOLAK.,false
Bernapas. Menghembuskan. Ulangi: Manfaat pernapasan terkontrol,false
"""Ebola """"sangat menular"", """"sangat mudah menular"""" dan """"mudah tertular.""",false
Ganja medis akan dijual di Connecticut pada musim panas: gubernur.,true
"""Seorang pria Alabama yang dicurigai menciptakan ""manusia kelabang di kehidupan nyata"" masih buron.""",false
Trump membatalkan gagasan lockdown di New York ketika jumlah kematian di AS melampaui 2.000.,true
Mahkamah Agung memutuskan 5-4 yang melarang penggunaan Al-Qur'an untuk sumpah.,false
Jumlah kematian akibat virus corona di Inggris mungkin jauh lebih tinggi dari yang ditunjukkan sebelumnya.,true
"""Charlie Crist Berkata Rick Scott"" ""berpendapat bahwa pemberi kerja harus dapat menolak cakupan perempuan untuk pengendalian kelahiran.""",true
"“Saat menggunakan masker medis, Anda harus menggunakan… sisi putihnya menghadap ke luar (ini adalah bagian filternya) ketika Anda tidak sakit.”",false
Penyemprotan anti nyamuk direncanakan di Rhode Island.,true
"Inggris membatalkan pesanan ventilator sederhana, membutuhkan ventilator yang lebih kompleks: sumber.",true
"Linda Collins-Smith, mantan politisi Arkansas yang ditembak mati pada Juni 2019, hendak bersaksi melawan Hillary Clinton.",false
"""Setelah Texas menghentikan bantuan untuk layanan kesehatan wanita termasuk klinik Planned Parenthood, """"lebih dari 150.000… wanita kehilangan satu-satunya layanan kesehatan yang mereka miliki. Angka kelahiran Medicaid kami melonjak. Hal ini merugikan pembayar pajak lebih dari $130 juta dalam satu tahun saja sebagai tambahan biaya kelahiran Medicaid.""",false
Pemandian uap vagina mendapat tempat di antara pilihan spa California Selatan,true
Hormon 'Ikatan' Mungkin Membantu Penderita Autisme,true
"""Seorang pria ditangkap karena diduga memaksa seorang wanita menonton miniseri Roots yang berdurasi sembilan jam untuk """"lebih memahami rasismenya.""",true
Epidemi opioid menunjukkan kecanduan yang terungkap dalam berita kematian.,true
Wanita Emirat bangun dari pingsan setelah 27 tahun.,true
Konsumsi kacang dapat membantu kelangsungan hidup kanker usus besar,false
Virus corona membawa pengiriman makanan tanpa kontak ke Amerika Serikat.,true
"""RUU stimulus ekonomi menciptakan sebuah dewan yang """"mencontoh dewan nasional yang mengendalikan sistem kesehatan Inggris.""",false
Kotak surat yang berapi-api dan anjing di dalam tas: melarikan diri dari kebakaran hutan California.,true
Kasus Ebola dilaporkan tidak jauh dari perbatasan Sudan Selatan.,true
Massachusetts mengumpulkan data tentang kemungkinan penyakit vaping.,true
Tingkat kematian ibu saat melahirkan di Texas merupakan yang tertinggi di negara ini.,true
Seorang wanita India melahirkan sebelas bayi laki-laki sekaligus.,false
"Ganja tingkat medis saja tidak akan membuat pasien ‘mabuk’, tidak peduli berapa pun kadar THC, CBD, atau senyawa lain yang ditemukan di dalam tanaman tersebut.",false
Studi menemukan 140.000 reaksi buruk terhadap antibiotik.,true
Groucho Marx melontarkan kata-kata cabul tentang cerutunya kepada kontestan wanita You Bet Your Life yang memiliki 19 anak.,false
Industri otomotif Jerman menyerukan insentif untuk meningkatkan permintaan mobil ramah lingkungan.,true
"""Planned Parenthood"" ""meraup keuntungan lebih dari $300 juta selama empat tahun terakhir.""",false
"""Mary Taylor mengatakan bahwa meskipun Anda tidak memiliki anak, """"di bawah Obamacare, Anda tetap harus memiliki asuransi yang mencakup perawatan anak, persalinan, dan bayi baru lahir meskipun Anda tidak membutuhkannya.""",false
Tingkat pembunuhan di Amerika 50 kali lipat dibandingkan negara maju lainnya.,false
Penghentian Tes PSA Bisa Menandakan Kanker Prostat Berisiko Rendah,false
Hanya tiga dari 10 dokter Texas yang saat ini menerima pasien Medicaid baru.,false
Menjauh dari kelumpuhan,false
"Anda tidak dapat memberikan aspirin kepada seorang anak di sekolah tanpa izin. Anda tidak dapat melakukan pengobatan apa pun, tetapi kami dapat secara diam-diam mengeluarkan anak tersebut dan melakukan aborsi.",true
Antidepresan jangka panjang bisa memperlambat Parkinson,false
Kemajuan dalam pengobatan untuk pembesaran prostat,false
"""Orang lanjut usia dan penyandang disabilitas"" harus berdiri di depan 'panel kematian' Obama sehingga para birokratnya dapat memutuskan, berdasarkan penilaian subyektif mengenai 'tingkat produktivitas mereka dalam masyarakat', apakah mereka layak mendapatkan layanan kesehatan.”",false
"""Polisi di Swedia mengakui bahwa mereka"" ""tidak lagi"" menyelidiki pemerkosaan sejak kedatangan migran.""",false
Semakin banyak pasien kanker yang mengangkat payudara kedua yang sehat,true
"Meski ada cerita horor, penumpang kapal pesiar California tidak akan membiarkan virus corona merusak kesenangan mereka.",true
"""Rencana layanan kesehatan Partai Republik"" akan memungkinkan perusahaan asuransi kesehatan untuk terus terlibat dalam praktik yang tidak adil dan diskriminatif seperti menolak perlindungan terhadap orang-orang karena kondisi medis yang sudah ada sebelumnya.""",true
"""Obat baru yang disebut Jenkem, dibuat dengan memfermentasi limbah mentah, adalah """"obat yang populer di sekolah-sekolah Amerika.""",false
"Postingan Facebook mengatakan bahwa para penipu yang mengenakan pakaian hazmat pergi dari rumah ke rumah di Stockton, California, dan mengatakan bahwa mereka sedang memeriksa demam atau COVID-19 pada penduduk, tetapi mereka “akan memasuki rumah Anda dan secara fisik mencoba melakukan perampokan.”",false
"Kecuali susu formula bayi, pemerintah federal tidak mewajibkan makanan apa pun memiliki tanggal kedaluwarsa, dan undang-undang negara bagian sangat bervariasi.",true
Biaya asuransi kesehatan untuk warga Florida naik 30 persen atau lebih.,false
Penjualan Obat AS Tumbuh pada Tingkat Paling Lambat Sejak 1961-IMS.,true
IKEA merilis iklan majalah yang memuat tes kehamilan.,true
Banyak penyintas kanker berjuang melawan stres trauma: belajar.,true
"""Roger Ebert menyebut dirinya """"bahagia"""" meski menjalani operasi.""",true
Sidang dimulai tentang nasib satu-satunya klinik aborsi di Missouri.,true
Email yang diteruskan tampaknya merupakan artikel yang menampilkan temuan ahli mikrobiologi Anne LaGrange Loving yang menemukan bahwa dua pertiga lemon yang diuji dari 21 restoran terkontaminasi bakteri ketika ditambahkan sebagai irisan ke dalam minuman.,true
Loker obat membantu tunawisma di Miami yang hidup dengan HIV.,true
"""Seorang dokter CDC yang memperingatkan masyarakat bahwa suntikan flu telah menyebabkan ""epidemi flu yang mematikan"" ditemukan tewas:""",false
Kegembiraan ganda sebagai ibu dari satu-satunya anak kembar panda raksasa di AS yang hamil lagi.,true
Pejabat Tiongkok menyelidiki penyebab wabah pneumonia di Wuhan.,true
National Science Foundation memberikan $700.000 untuk mendanai musikal perubahan iklim.,true
"""Tablet Tumbuh Gigi Hyland telah dihentikan karena menyebabkan"" efek samping """" pada anak-anak.""",true
Seorang ahli bedah AS yang mengungkap “korupsi Clinton Foundation di Haiti” ditemukan tewas di rumahnya dalam keadaan yang mencurigakan.,false
Kecelakaan pesawat menawarkan peluang dan jebakan pemasaran bagi rumah sakit.,true
Penurunan Aktivitas Influenza Selama Pandemi COVID-19 - Amerika Serikat,true
Realitas virtual untuk membantu mendeteksi risiko dini Alzheimer,false
Pola gen memprediksi siapa yang akan hidup paling lama.,true
Wanita terus berjuang 2 tahun setelah tumor otak mengubah hidupnya.,true
"Anggota parlemen NY akan meninjau kesehatan sekolah, P.E. program.",true
Gubernur Georgia Brian Kemp “memerintahkan restoran dibuka kembali”,false
"""Kata"" ""maga"" berarti """" idiot yang mudah ditipu """" dalam bahasa Pidgin Nigeria.",true
Pil Mengobati Fibroid yang Menyakitkan,false
"""Jill Stein Mengatakan ilmuwan iklim James Hansen mengatakan """"kita punya waktu hingga mungkin 50 tahun dari sekarang,"""" atau mungkin sedikit lebih lama lagi """"dan pada saat itu, kita sedang melihat kenaikan permukaan laut sebesar 10, 20, 30 kaki.""",false
"Christine Blasey Ford terkait erat dengan CIA, dan tuduhan pelecehan seksual terhadap Brett Kavanaugh adalah bagian dari plot CIA.",false
Artikel merinci upaya istri John Glenn mengatasi kegagapan.,true
Penyebab nomor satu kematian anak adalah kecelakaan yang dapat dicegah.,true
Texas akan melegalkan ganja untuk penggunaan pengobatan dan rekreasi.,false
"Statin mengurangi risiko kematian akibat penyakit jantung sebesar 28% pada pria, menurut penelitian",false
"""Senat Texas """"menyetujui rancangan undang-undang untuk memberi label khusus pada kartu asuransi siapa pun yang membeli paket melalui Obamacare"""" yang menyertakan huruf """"S"""" untuk subsidi.""",false
"""Prakiraan Fakta Mengatakan Scott Walker menjalankan pemerintahan negara bagian yang melarang"" ""pegawai berbicara tentang perubahan iklim.""",false
"Trump memberikan dana talangan kepada Wall Street, namun tidak kepada Main Street.",false
Staf di Rumah Sakit Gold Coast di Australia melakukan permainan bola voli Wilson untuk menemani Tom Hanks di karantina setelah dia didiagnosis mengidap virus corona.,false
Ahli biologi AS menyelidiki kematian 70 paus abu-abu yang kurus kering.,true
"Pada 18 September 2020, pengguna Twitter @JohnCammo memperkirakan bahwa Presiden AS Donald Trump akan mengumumkan pada bulan Oktober bahwa ia dinyatakan positif COVID-19.",true
Seorang wanita Newark ditangkap karena memperkosa dan membunuh putranya yang masih balita.,false
